"gene_id","Control72h1","Control72h2","Control72h3","OVA72h1","OVA72h2","OVA72h3","OVA72h4"
"Tcl1b5",0,0,0,0,0,0,0
"Tcn2",130.0150872,102.6661444,135.9610648,140.9026974,160.165905,106.901243,159.3145743
"Tcof1",7.139121726,10.83227654,8.199036193,6.998834703,6.457646334,8.715922792,7.977718657
"Tcp1",113.6823653,96.42871555,89.33057346,133.1595235,143.8238727,137.2279833,122.9009235
"Tcp10a",0,0,0.008547521,0.018760059,0,0.01800032,0
"Tcp10b",0.212208879,0.331349961,0.32707615,0.266545015,0.240776569,0.371705064,0.168521824
"Tcp10c",0,0.018928328,0.007287435,0,0,0,0
"Tcp11",2.799640056,2.870101098,1.510627683,1.832397257,0.878961399,1.88193127,2.724922508
"Tcp11l1",2.141562626,2.286017356,2.101261635,0.828070671,1.337486667,2.033279914,1.610874905
"Tcp11l2",115.6029068,103.2295123,121.9831589,76.35163014,90.11196986,92.88480548,84.02609589
"Tcp11x2",0,0,0,0.160968711,0,0,0
"Tcstv1",0,0,0,0,0,0,0
"Tcstv3",0,0,0,0,0,0,0
"Tcta",31.15845622,34.90426792,34.04468328,32.95601131,34.90095505,34.82415045,35.25306035
"Tcte1",2.904179613,5.171085105,3.495858446,1.553225604,1.892925038,2.849516971,2.631581621
"Tcte2",0.551655891,0.594548644,0.519991391,0.632881563,0.264422098,0.307227776,0.384563902
"Tcte3",0.217726054,0.624279288,0,0,0,0.697458115,0.263884396
"Tctex1d1",0,0,0.044695853,0,0,0,0
"Tctex1d2",2.11636358,2.11192273,1.768195697,4.27949961,3.511765631,3.169233776,3.990255862
"Tctex1d4",1.54765284,2.655076122,1.249970661,2.385576229,1.814793131,2.323950609,2.542082524
"Tctn1",6.466333648,8.389657946,7.993685881,5.225451432,3.979831153,4.837402281,5.282372608
"Tctn2",4.695511213,4.237834173,4.684932959,3.760390012,3.231431554,4.355381101,4.337707752
"Tctn3",6.421622194,8.87679453,8.08439763,6.92816882,6.523048391,6.50408049,7.897330577
"Tdg",3.992628953,4.149490611,3.689642684,4.690451795,4.5346445,3.667599804,4.607022056
"Tdgf1",0.170943663,0.609695484,0.515847162,0.459747035,0.458354592,0.465401771,0.44546505
"Tdh",0.032983861,0,0,0,0,0.01188554,0
"Tdo2",1.559751236,1.513302835,2.694009743,9.259304936,7.776891159,5.48979908,5.462837647
"Tdp1",4.735356497,4.838562667,4.939346045,5.93672003,4.937488332,4.837525348,5.694851351
"Tdp2",15.62539475,19.18871711,17.94118349,18.72251461,16.259107,19.40415658,21.44194631
"Tdpoz1",0,0,0,0,0,0,0
"Tdpoz2",0,0,0,0,0,0,0
"Tdpoz3",0,0,0,0,0,0,0
"Tdpoz4",0,0,0,0,0,0,0
"Tdpoz5",0,0,0,0,0,0,0
"Tdpoz7",0,0,0,0,0,0,0
"Tdpoz8",0,0,0,0,0,0,0
"Tdrd1",0,0,0,0.022791031,0,0,0.007695585
